time,susceptible,infected,recovered,vaccinated
0.0,239.0,3.0,0.0,0.0
1.0,238.04166666666666,3.4,0.5583333333333333,0.0
2.0,237.05833333333334,3.9,1.0416666666666667,0.0
3.0,236.11666666666667,4.233333333333333,1.65,0.0
4.0,235.25833333333333,4.55,2.191666666666667,0.0
5.0,234.425,4.558333333333334,3.0166666666666666,0.0
6.0,233.43333333333334,4.858333333333333,3.7083333333333335,0.0
7.0,232.41666666666666,5.166666666666667,4.416666666666667,0.0
8.0,231.39166666666668,5.291666666666667,5.316666666666666,0.0
9.0,230.31666666666666,5.383333333333334,6.3,0.0
10.0,229.425,5.525,7.05,0.0
11.0,228.45833333333334,5.625,7.916666666666667,0.0
12.0,227.61666666666667,5.45,8.933333333333334,0.0
13.0,226.50833333333333,5.7,9.791666666666666,0.0
14.0,225.5,5.75,10.75,0.0
15.0,224.64166666666668,5.641666666666667,11.716666666666667,0.0
16.0,223.74166666666667,5.5,12.758333333333333,0.0
17.0,222.80833333333334,5.591666666666667,13.6,0.0
18.0,221.98333333333332,5.583333333333333,14.433333333333334,0.0
19.0,221.21666666666667,5.333333333333333,15.45,0.0
20.0,220.44166666666666,5.2,16.358333333333334,0.0
21.0,219.88333333333333,4.891666666666667,17.225,0.0
22.0,219.06666666666666,4.908333333333333,18.025,0.0
23.0,218.5,4.541666666666667,18.958333333333332,0.0
24.0,217.80833333333334,4.483333333333333,19.708333333333332,0.0
25.0,217.16666666666666,4.333333333333333,20.5,0.0
26.0,216.60833333333332,4.166666666666667,21.225,0.0
27.0,215.95,4.225,21.825,0.0
28.0,215.44166666666666,4.058333333333334,22.5,0.0
29.0,214.89166666666668,3.941666666666667,23.166666666666668,0.0
30.0,214.20833333333334,4.1,23.691666666666666,0.0
31.0,213.625,4.033333333333333,24.341666666666665,0.0
32.0,212.99166666666667,4.058333333333334,24.95,0.0
33.0,212.48333333333332,3.9166666666666665,25.6,0.0
34.0,211.98333333333332,3.65,26.366666666666667,0.0
35.0,211.51666666666668,3.558333333333333,26.925,0.0
36.0,211.08333333333334,3.425,27.491666666666667,0.0
37.0,210.63333333333333,3.3583333333333334,28.008333333333333,0.0
38.0,210.25833333333333,3.1083333333333334,28.633333333333333,0.0
39.0,209.93333333333334,3.0416666666666665,29.025,0.0
40.0,209.55,2.9583333333333335,29.491666666666667,0.0
41.0,209.19166666666666,2.8333333333333335,29.975,0.0
42.0,208.8,2.725,30.475,0.0
43.0,208.5,2.6333333333333333,30.866666666666667,0.0
44.0,208.18333333333334,2.6083333333333334,31.208333333333332,0.0
45.0,207.81666666666666,2.533333333333333,31.65,0.0
46.0,207.56666666666666,2.433333333333333,32.0,0.0
47.0,207.25,2.3333333333333335,32.416666666666664,0.0
48.0,207.05,2.158333333333333,32.791666666666664,0.0
49.0,206.84166666666667,2.0416666666666665,33.11666666666667,0.0
50.0,206.60833333333332,1.9916666666666667,33.4,0.0
51.0,206.35833333333332,1.9416666666666667,33.7,0.0
52.0,206.225,1.7333333333333334,34.041666666666664,0.0
53.0,206.025,1.625,34.35,0.0
54.0,205.83333333333334,1.5333333333333334,34.63333333333333,0.0
55.0,205.63333333333333,1.5583333333333333,34.80833333333333,0.0
56.0,205.40833333333333,1.55,35.041666666666664,0.0
57.0,205.26666666666668,1.425,35.30833333333333,0.0
58.0,205.06666666666666,1.3833333333333333,35.55,0.0
59.0,204.90833333333333,1.3166666666666667,35.775,0.0
60.0,204.73333333333332,1.2583333333333333,36.00833333333333,0.0
61.0,204.63333333333333,1.1333333333333333,36.233333333333334,0.0
62.0,204.53333333333333,1.0833333333333333,36.38333333333333,0.0
63.0,204.41666666666666,0.9416666666666667,36.641666666666666,0.0
64.0,204.35833333333332,0.8333333333333334,36.80833333333333,0.0
65.0,204.23333333333332,0.8583333333333333,36.90833333333333,0.0
66.0,204.175,0.7916666666666666,37.03333333333333,0.0
67.0,204.06666666666666,0.8083333333333333,37.125,0.0
68.0,203.96666666666667,0.7583333333333333,37.275,0.0
69.0,203.85833333333332,0.7333333333333333,37.40833333333333,0.0
70.0,203.75,0.6916666666666667,37.55833333333333,0.0
71.0,203.66666666666666,0.6916666666666667,37.641666666666666,0.0
72.0,203.625,0.6,37.775,0.0
73.0,203.55833333333334,0.5166666666666667,37.925,0.0
74.0,203.5,0.5,38.0,0.0
75.0,203.46666666666667,0.48333333333333334,38.05,0.0
76.0,203.425,0.45,38.125,0.0
77.0,203.375,0.35833333333333334,38.266666666666666,0.0
78.0,203.34166666666667,0.2916666666666667,38.36666666666667,0.0
79.0,203.30833333333334,0.275,38.416666666666664,0.0
80.0,203.29166666666666,0.24166666666666667,38.46666666666667,0.0
