time,smoothness,mean_infection_probability
0,172.9582907255377,0.012396694214876033
1,113.42699534378806,0.014049586776859503
2,85.40043076417179,0.016115702479338842
3,60.801210121612776,0.017493112947658398
4,47.796441754200266,0.018801652892561978
5,32.37796015116485,0.01883608815426997
6,25.77683404571109,0.020075757575757573
7,18.177038811875885,0.021349862258953165
8,12.085346813902847,0.021866391184573
9,8.857318558048073,0.02224517906336088
10,6.392978341156776,0.022830578512396695
11,5.090374211379643,0.02324380165289256
12,4.147184174320305,0.02252066115702479
13,3.4394091351004197,0.023553719008264463
14,2.5409219758150257,0.023760330578512397
15,2.268281038268492,0.02331267217630854
16,1.9258883669300824,0.022727272727272728
17,2.0495228008066264,0.023106060606060606
18,1.989470690525493,0.02307162534435262
19,1.9000440544826984,0.02203856749311294
20,1.8315437274197521,0.021487603305785124
21,1.5782470494765122,0.020213498622589532
22,1.7366514633855967,0.020282369146005508
23,1.4764008836852203,0.018767217630853993
24,1.4695773160176686,0.018526170798898067
25,1.431731113339861,0.017906336088154264
26,1.2617810967597038,0.017217630853994487
27,1.3177041726476841,0.017458677685950413
28,1.2784553371659502,0.01676997245179063
29,1.2691507716938215,0.016287878787878785
30,1.3773005964679137,0.016942148760330577
31,1.249778751554244,0.016666666666666666
32,1.1997730645817415,0.01676997245179063
33,1.16824421365998,0.016184573002754818
34,1.027349743052694,0.01508264462809917
35,0.917747943312626,0.014703856749311293
36,0.984025405086997,0.01415289256198347
37,1.0267431226981703,0.01387741046831956
38,0.9717370487394016,0.012844352617079889
39,0.9971106064003984,0.012568870523415977
40,0.9211989642883066,0.012224517906336087
41,0.8408723940246471,0.011707988980716252
42,0.8380765964855951,0.011260330578512395
43,0.8141523557489339,0.010881542699724515
44,0.7836833077488057,0.010778236914600552
45,0.7188888801798333,0.01046831955922865
46,0.7331719576306664,0.010055096418732782
47,0.6923801623822824,0.009641873278236913
48,0.6014655908944486,0.008918732782369146
49,0.6049083047726775,0.008436639118457302
50,0.5645966815643745,0.008230027548209366
51,0.5539837896458093,0.008023415977961433
52,0.5182113953374388,0.0071625344352617085
53,0.48306871895612247,0.006714876033057851
54,0.422816665187461,0.006336088154269972
55,0.4069338988939668,0.006439393939393938
56,0.41778691128776113,0.0064049586776859496
57,0.4062629381729291,0.005888429752066116
58,0.4405696310462643,0.005716253443526171
59,0.4351131598860479,0.005440771349862258
60,0.4190113075472631,0.005199724517906336
61,0.3526902313228244,0.004683195592286501
62,0.3237680832410112,0.004476584022038568
63,0.2736948178597251,0.003891184573002755
64,0.2345208445065473,0.0034435261707988977
65,0.24867575891583554,0.0035468319559228655
66,0.2490407659424937,0.0032713498622589533
67,0.23776271410132555,0.0033402203856749313
68,0.2121125871215996,0.003133608815426997
69,0.21189572090665879,0.0030303030303030307
70,0.17027190328299907,0.0028581267217630854
71,0.1675033217851577,0.0028581267217630854
72,0.1444249034587167,0.0024793388429752068
73,0.13337224687484225,0.002134986225895317
74,0.12303980026241931,0.002066115702479339
75,0.11838618760406411,0.001997245179063361
76,0.11264970616785833,0.0018595041322314048
77,0.08145154348110417,0.0014807162534435261
78,0.06692519182215302,0.0012052341597796141
79,0.060715399340678954,0.0011363636363636365
80,0.05385030287776722,0.0009986225895316806
